"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"","","","","","40.0","","","534.0",""
"","","","","","40.0","","","502.0",""
"","","","","","39.0","","","503.0",""
"","","","","","40.0","","","486.0",""
"","","","","","38.0","","","456.0",""
"","","","","","37.0","","","527.0",""
"","","","","","37.0","","","499.0",""
"","","","","","37.0","","","498.0",""
"","","","","","37.0","","","501.0",""
"","","","","","36.0","","","482.0",""
"","","","","","38.0","","","505.0",""
"","","","","","38.0","","","496.0",""
"","","","","","42.0","","","492.0",""
"","","","","","40.0","","","474.0",""
"","","","","","42.0","","","451.0",""
"","","","","","42.0","","","525.0",""
"","","","","","45.0","","","550.0",""
"","","","","","","","","528.0",""
"1","501637044955","25","True","False","31.0","335.0","334.0","1647.0","819.0"
"","","","","","26.0","","","728.0",""
"","","","","","29.0","","","730.0",""
"","","","","","16.0","","","647.0",""
"","","","","","10.0","","","469.0",""
"","","","","","14.0","","","87.0",""
"","","","","","20.0","","","43.0",""
"","","","","","39.0","","","460.0",""
"","","","","","37.0","","","540.0",""
"","","","","","38.0","","","447.0",""
"","","","","","37.0","","","421.0",""
"","","","","","38.0","","","446.0",""
"","","","","","","","","459.0",""
"2","840722644831","54","True","False","20.0","860.0","898.0","99.0","2403.0"
"","","","","","27.0","","","53.0",""
"","","","","","26.0","","","133.0",""
"","","","","","31.0","","","488.0",""
"","","","","","22.0","","","441.0",""
"","","","","","24.0","","","454.0",""
"","","","","","19.0","","","556.0",""
"","","","","","19.0","","","495.0",""
"","","","","","13.0","","","359.0",""
"","","","","","20.0","","","87.0",""
"","","","","","31.0","","","370.0",""
"","","","","","30.0","","","351.0",""
"","","","","","31.0","","","348.0",""
